"Surface","Substrate","Adsorbate","Substrate Mass","NN","mindistance","NN2","NN2min","Adsorbate mass","cos(alpha)","sin(alpha)","NN2cosa","NN2sina","Mr","Zfrequency","frequency_corrected","Energy","Surface_Energy","Egas","Eads","Edisp","SurfaceDisp","EminusDisp","vibGibbs","ZPE","vibEntropy","vibEnthalpy","Gvibxyz","GvibxyzCF","Xfrequency","Yfrequency","HorC","Rotation","High_Frequency","RorIx","RorIy"
"100","Ag","CCHHHH","107.86799999999999","2","3.0139717406810882","4","5.2748974008914953","28.053760000000004","0.9643146783473534","0.26475876024003475","0.95191462991129983","0.3063634073462968","24.798933277822965","102.52278","109.04340705581291","-197.20128","-165.14913000000001","-31.74383","-0.30831999999998416","-35.7528","-35.20307","0.24141000000002677","","","","","-0.021554267515487516","-0.063350752935551341","158.450398","218.067075","82.129302099853263","919.945695","3161.219489","f","f"
"100","Al","CCHHHH","26.981539999999999","2","2.0455768759834045","4","4.2234119130406604","28.053760000000004","0.93104021607426368","0.36491658780108699","0.92663215201780202","0.37596922061101884","17.699926428702284","392.973922","494.73602950416279","-253.3802","-221.15234000000001","-31.74383","-0.48402999999999352","-11.29893","-10.75391","0.06099000000002164","1.2152451624793876","1.365936214585682","0.00076417603432802229","1.5209155762105966","-0.0015873121386934669","0.087428498229592533","172.557614","102.407808","513.90747017249805","475.647522","3024.411328","f","f"
"100","Au","CCHHHH","196.9665","2","2.2981545701286454","4","4.7091212228900625","28.053760000000004","0.94296525079098836","0.33289117711451621","0.9389168088758707","0.34414419363161058","26.023222520034309","146.07107","151.66284954685386","-238.49664000000001","-206.44663","-31.74383","-0.30618000000001544","-49.624","-48.88768","0.43013999999997665","1.177963972073766","1.385668612443884","0.00094033108006268693","1.5540964040988408","-0.067248861693981005","-0.048302045976245517","100.344412","42.788436","92.684320206327442","391.353789","3138.079437","f","f"
"100","Cr","CCHHHH","51.996000000000002","2","2.0724233578941531","4","3.8122338297536169","28.053760000000004","0.95645576722046766","0.29187731215479285","0.90835460863648221","0.41820079503614443","21.881173628980743","389.847678","441.42323004154753","-578.97343999999998","-546.47936000000004","-31.74383","-0.7502499999999408","-22.68679","-22.06991","-0.13336999999996735","","","","","0.0067240686020009904","0.067373399800471939","372.998813","60.085491","410.33343372576104","372.998813","2985.197749","f","f"
"100","Cu","CCHHHH","63.545999999999999","2","2.4045799209985894","4","4.4189822265877101","28.053760000000004","0.97114153021465577","0.23850393768727701","0.94580488388774997","0.32473546405355791","22.93216655626577","141.974609","157.03037804821079","-255.60987","-223.28368","-31.74383","-0.58235999999999777","-32.84938","-31.90934","0.35767999999999844","","","","","-0.08423526852278454","-0.023173383899943278","50.616456","45.411161","146.61658703100787","858.263736","3148.47262","f/i","f"
"100","Ir","CCHHHH","192.22","2","2.1497711796673022","4","4.2576568837786732","28.053760000000004","0.96047496806881605","0.27836636958010336","0.93135089566141749","0.3641229313716392","26.054094483018368","431.63814","447.89618074719556","-559.79186000000004","-526.33329000000003","-31.74383","-1.7147400000000097","-43.4216","-42.59967","-0.8928100000000008","1.2721851820808892","1.4026598461883328","0.00068512004682454923","1.5462332008107089","-0.0032736265153541638","0.043693092148361257","132.842289","111.24919","278.71103736755714","521.150231","3063.482178","f","f"
"100","Ni","CCHHHH","58.693399999999997","2","2.0267249576729442","4","4.0801303526886548","28.053760000000004","0.97050734345177969","0.24107155847625228","0.93697836996765516","0.34938736985294117","22.498434421160528","334.652684","373.69191518305456","-350.43874","-317.52080999999998","-31.74383","-1.1741000000000135","-26.08652","-25.32211","-0.4096900000000012","1.1353987300963591","1.3612484870253643","0.00098165385604809382","1.5280602725155965","-0.072211347992993807","0.052756605800942817","21.792023","65.505606","357.22480513651379","412.758687","3084.004652","f","f"
"100","Pd","CCHHHH","106.42","2","2.1227489292232025","4","4.4243499907599748","28.053760000000004","0.95431918859699805","0.29878903305771953","0.93638621622427098","0.35097130091389667","24.577396437326765","342.126415","365.52257780687756","-346.23203000000001","-313.27465999999998","-31.74383","-1.2135400000000267","-37.76271","-37.0906","-0.5414300000000587","1.2208433995945127","1.3801438428161477","0.00078809321322976318","1.5360806848864179","0.013523271193439976","0.034767095840187612","436.253667","75.036904","268.74338329224304","436.253667","3076.91904","f","f"
"100","Pt","CCHHHH","195.08000000000001","2","2.1029931682874401","4","4.4468009136708151","28.053760000000004","0.95257630105319979","0.30429983679227268","0.93709145984212927","0.34908393817382521","26.034046899527038","442.434454","459.27587888584247","-406.64686","-373.14803000000001","-31.74383","-1.754999999999999","-49.14859","-48.2886","-0.8950099999999885","1.2800948529349545","1.413981458025392","0.00068870222957727496","1.5555757447658645","0.033528059760958726","0.045333192981601628","534.76336","87.948664","282.31040794461364","534.76336","3074.437219","f","f"
"100","Rh","CCHHHH","102.9055","2","2.1317218077567701","4","4.2534252094800191","28.053760000000004","0.96009266102970536","0.27968210925423737","0.93270932288651132","0.36062906011660412","24.530090821138295","377.507891","403.71231232358247","-461.04969","-428.00013999999999","-31.74383","-1.3057200000000115","-36.3237","-35.57768","-0.5597000000000385","1.2113829095774551","1.3734641041643698","0.00079613171517348396","1.5298355956468488","0.020153099077299133","0.045431490370391334","455.369895","81.042909","304.56114604060008","455.369895","3064.422188","f","f"
"100","V","CCHHHH","50.941499999999998","2","2.0401749709150803","4","3.4934809150172108","28.053760000000004","0.726026187890907","0.68766705206560341","0.91195554779874966","0.41028901866742956","19.132078522787804","483.047229","584.93021593091066","-560.03425000000004","-526.71874000000003","-31.74383","-1.5716800000000184","-29.18933","-28.42703","-0.8093799999999796","","","","","-0.0052980825084143063","0.088872493613669321","337.588457","31.981241","479.98303414541465","483.690271","2950.016016","f","f/i"
